"candidate","trace_csv","status","tx_score","peak_freq_ghz","peak_s21_db","pass_low_s21_db","pass_center_s21_db","pass_high_s21_db","passband_min_s21_db","passband_max_s21_db","passband_ripple_db","worst_s11_passband_db","worst_s22_passband_db","worst_s11_high_passband_db","worst_s22_high_passband_db","pass_high_s11_db","pass_high_s22_db","lo_stopband_max_s21_db","image_stopband_points","image_stopband_max_s21_db","note"
"tx_band1_mcfil_r1_cnn002_len_p055_gap_m020","projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r1_cnn002_p2up_graphical_bb_14_23g\tx_band1_mcfil_r1_cnn002_len_p055_gap_m020_hfss_trace.csv","TUNE","-12.143","18.9000","-2.0304","-5.4585","-2.4735","-3.0050","-5.4585","-2.0304","3.4281","-7.8410","-7.7920","-7.8410","-7.7920","-7.4070","-7.3561","-39.1528","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable; peak is high; lengthen resonators"
"tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006","projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r2_cnn002_p2up_graphical_bb_14_23g\tx_band1_mcfil_r2_cnn002_len_p085_gap_relax006_hfss_trace.csv","TUNE","-117.871","18.6500","-2.1301","-4.2732","-2.1950","-4.3577","-4.2732","-2.1301","2.1431","-5.3080","-5.1491","-5.3080","-5.1491","-5.0296","-4.8784","-39.0065","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r4_cnn038_rand32","projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r4_cnn038_p2up_graphical_bb_14_23g\tx_band1_mcfil_r4_cnn038_rand32_hfss_trace.csv","TUNE","-181.868","18.5000","-2.2273","-3.6492","-2.2281","-5.0259","-4.7792","-2.2273","2.5519","-4.5951","-4.6330","-4.5951","-4.6330","-4.3490","-4.3945","-38.9538","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r5_cnn034_p2up_graphical","projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r5_cnn034_p2up_graphical_bb_14_23g\tx_band1_mcfil_r5_cnn034_rand28_hfss_trace.csv","TUNE","-128.430","18.6000","-2.2426","-4.4482","-2.2760","-4.5410","-4.4482","-2.2426","2.2055","-5.2624","-4.9766","-5.2624","-4.9766","-5.0035","-4.7276","-39.9535","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r5_cnn018_rand12_p2up_hidden_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r5_cnn018_rand12_p2up_hidden_graphical_bb_14_23g\tx_band1_mcfil_r5_cnn018_rand12_hfss_trace.csv","TUNE","-122.177","18.6500","-2.1136","-4.1214","-2.1696","-4.5172","-4.2805","-2.1136","2.1669","-5.0724","-5.2922","-5.0724","-5.2922","-4.7840","-4.9918","-39.1922","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r5_cnn027_rand21_p2up_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r5_cnn027_rand21_p2up_graphical_bb_14_23g\tx_band1_mcfil_r5_cnn027_rand21_hfss_trace.csv","TUNE","-161.208","18.5500","-2.2838","-4.1242","-2.2877","-4.9302","-4.6906","-2.2838","2.4067","-4.7520","-4.8529","-4.7520","-4.8529","-4.5042","-4.6065","-40.1219","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable"
"tx_band1_mcfil_r6_cnn004_center_gap_relax_keep_len_p2up_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r6_cnn004_center_gap_relax_keep_len_p2up_graphical_bb_14_23g\tx_band1_mcfil_r6_cnn004_center_gap_relax_keep_len_hfss_trace.csv","TUNE","-150.667","18.6500","-2.1645","-4.2329","-2.2087","-4.7161","-4.4795","-2.1645","2.3150","-4.9006","-4.8881","-4.9006","-4.8881","-4.6293","-4.6269","-39.1732","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r6_cnn025_rand19_p2up_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r6_cnn025_rand19_p2up_graphical_bb_14_23g\tx_band1_mcfil_r6_cnn025_rand19_hfss_trace.csv","TUNE","-194.822","18.6500","-2.1243","-4.1539","-2.1733","-4.9994","-4.7461","-2.1243","2.6217","-4.4788","-4.5253","-4.4788","-4.5253","-4.2298","-4.2723","-38.7913","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r6_cnn022_rand16_p2up_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r6_cnn022_rand16_p2up_graphical_bb_14_23g\tx_band1_mcfil_r6_cnn022_rand16_hfss_trace.csv","TUNE","-281.534","18.4000","-2.3445","-3.7884","-2.3756","-5.7479","-5.5049","-2.3445","3.1604","-3.6854","-4.0717","-3.6854","-4.0717","-3.5175","-3.8933","-38.8480","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r7_cnn034_rand28_p2up_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r7_cnn034_rand28_p2up_graphical_bb_14_23g\tx_band1_mcfil_r7_cnn034_rand28_hfss_trace.csv","TUNE","-128.430","18.6000","-2.2426","-4.4482","-2.2760","-4.5410","-4.4482","-2.2426","2.2055","-5.2624","-4.9766","-5.2624","-4.9766","-5.0035","-4.7276","-39.9535","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r7_cnn018_rand12_p2up_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r7_cnn018_rand12_p2up_graphical_bb_14_23g\tx_band1_mcfil_r7_cnn018_rand12_hfss_trace.csv","TUNE","-122.177","18.6500","-2.1136","-4.1214","-2.1696","-4.5172","-4.2805","-2.1136","2.1669","-5.0724","-5.2922","-5.0724","-5.2922","-4.7840","-4.9918","-39.1922","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r8_cnn023_rand17_p2up_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r8_cnn023_rand17_p2up_graphical_bb_14_23g\tx_band1_mcfil_r8_cnn023_rand17_hfss_trace.csv","TUNE","-109.265","18.6500","-2.1356","-4.1285","-2.1766","-4.3907","-4.1716","-2.1356","2.0360","-5.2383","-5.3619","-5.2383","-5.3619","-4.9568","-5.0780","-39.4099","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r8_cnn003_outer_gap_stronger_width_m006_p2up_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r8_cnn003_outer_gap_stronger_width_m006_p2up_graphical_bb_14_23g\tx_band1_mcfil_r8_cnn003_outer_gap_stronger_width_m006_hfss_trace.csv","TUNE","-193.564","18.6500","-2.1869","-4.3085","-2.2279","-5.0568","-4.8028","-2.1869","2.6158","-4.5602","-4.4770","-4.5602","-4.4770","-4.3113","-4.2296","-39.4151","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r9_cnn004_center_gap_relax_keep_len_p2up_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r9_cnn004_center_gap_relax_keep_len_p2up_graphical_bb_14_23g\tx_band1_mcfil_r9_cnn004_center_gap_relax_keep_len_hfss_trace.csv","TUNE","-168.301","18.5500","-2.2584","-4.1919","-2.2669","-4.9545","-4.7132","-2.2584","2.4547","-4.6569","-4.8090","-4.6569","-4.8090","-4.4128","-4.5621","-39.9116","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r9_cnn044_rand38_p2up_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r9_cnn044_rand38_p2up_graphical_bb_14_23g\tx_band1_mcfil_r9_cnn044_rand38_hfss_trace.csv","TUNE","-74.288","18.6000","-2.2296","-4.1800","-2.2492","-4.1165","-4.1800","-2.2296","1.9504","-5.5178","-5.9611","-5.5178","-5.9611","-5.2524","-5.6734","-39.7990","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable; LO stopband rejection is not acceptable"
"tx_band1_mcfil_r10_cnn042_rand36_p2up_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r10_cnn042_rand36_p2up_graphical_bb_14_23g\tx_band1_mcfil_r10_cnn042_rand36_hfss_trace.csv","TUNE","-78.249","18.6000","-2.2980","-4.1724","-2.3071","-4.3493","-4.1724","-2.2980","1.8744","-5.6722","-5.6826","-5.6722","-5.6826","-5.3701","-5.3954","-40.6924","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable"
"tx_band1_mcfil_r10_cnn006_edge_short_center_hold_p2up_graphical","D:\Work\SIM\ADS_AUTO_SIM\projects\RFSOC_RF\hfss_runs\tx_band1_mcfil_r10_cnn006_edge_short_center_hold_p2up_graphical_bb_14_23g\tx_band1_mcfil_r10_cnn006_edge_short_center_hold_hfss_trace.csv","TUNE","-92.038","18.6000","-2.3394","-4.3268","-2.3481","-4.4216","-4.3268","-2.3394","1.9874","-5.4148","-5.6547","-5.4148","-5.6547","-5.1517","-5.3641","-40.8321","0","nan","passband insertion loss/ripple is not acceptable; return loss is not acceptable; high-frequency return loss is not acceptable"
